date,langue,note,sentiment,texte,source,nb_mots,mois,mois_str,texte_clean
2025-09-26,EN,4,positif,Burger was cooked to perfection and the onion rings were fantastic.,Google Maps,11,2025-09,Sep 2025,cooked perfection onion rings fantastic
2025-09-08,FR,5,positif,"Absolument incroyable, le meilleur burger de Casablanca sans aucun doute.",TripAdvisor,10,2025-09,Sep 2025,absolument incroyable meilleur sans aucun doute
2025-03-29,FR,5,positif,"Ambiance New-York au cœur de Casa, j'adore l'endroit.",Google Maps,8,2025-03,Mar 2025,ambiance new-york cœur j'adore l'endroit
2026-03-20,FR,1,négatif,"Allergie grave après le burger, fromage potentiellement périmé. Scandaleux.",Google Maps,9,2026-03,Mar 2026,allergie grave après fromage potentiellement périmé scandaleux
2025-03-21,FR,5,positif,meilleure adresse burger que j'ai testée au Maroc.,TripAdvisor,8,2025-03,Mar 2025,meilleure adresse j'ai testée maroc
2025-12-21,EN,5,positif,"One of the best burgers I've had anywhere in the world, seriously.",TripAdvisor,12,2025-12,Dec 2025,one best anywhere world seriously
2026-03-01,FR,5,positif,"le Béarnaise burger est une merveille, cuisson parfaite.",TripAdvisor,8,2026-03,Mar 2026,béarnaise merveille cuisson parfaite
2025-05-22,FR,4,positif,"Accueil chaleureux dès l'entrée, l'équipe est vraiment sympa.",TripAdvisor,8,2025-05,May 2025,accueil chaleureux dès l'entrée l'équipe sympa
2025-07-12,EN,5,positif,"Great halal options, the quality rivals any burger spot in Europe.",TripAdvisor,11,2025-07,Jul 2025,halal options quality rivals spot europe
2026-01-27,FR,4,positif,"Les burgers sont juteux et savoureux, on reviendra sans hésiter.",Google Maps,10,2026-01,Jan 2026,juteux savoureux reviendra sans hésiter
2025-08-15,FR,2,négatif,Qualité en baisse par rapport à mes visites précédentes il y a un an.,Google Maps,14,2025-08,Aug 2025,qualité baisse rapport visites précédentes
2025-12-20,FR,5,positif,"Vraiment une bonne surprise, meilleur que ce à quoi je m'attendais.",TripAdvisor,11,2025-12,Dec 2025,bonne surprise meilleur quoi m'attendais
2025-03-09,FR,1,négatif,"Vraiment, le bun sans gluten était absent ce jour-là malgré ce qu'indique la carte.",TripAdvisor,14,2025-03,Mar 2025,bun sans gluten absent jour-là malgré qu'indique carte
2025-04-20,FR,5,positif,"Burger parfaitement équilibré, bun moelleux, steak haché épais.",TripAdvisor,8,2025-04,Apr 2025,parfaitement équilibré bun moelleux steak haché épais
2025-05-23,EN,5,positif,"One of the best burgers I've had anywhere in the world, seriously.",TripAdvisor,12,2025-05,May 2025,one best anywhere world seriously
2025-05-05,FR,1,négatif,"En résumé, attente de plus d'une heure un samedi soir, inacceptable pour un fast-food gourmet.",Google Maps,15,2025-05,May 2025,résumé attente d'une heure samedi soir inacceptable fast-food gourmet
2025-05-06,FR,5,positif,"En résumé, ingrédients frais, burger bien assemblé, service souriant.",TripAdvisor,9,2025-05,May 2025,résumé ingrédients frais assemblé service souriant
2025-11-14,FR,4,mitigé,"Franchement, bon mais sans plus. Le buzz autour de cet endroit est peut-être excessif.",TripAdvisor,14,2025-11,Nov 2025,franchement bon sans buzz autour cet peut-être excessif
2026-02-18,FR,2,négatif,La viande était trop cuite alors que j'avais demandé saignant explicitement.,Google Maps,11,2026-02,Feb 2026,viande cuite alors j'avais demandé saignant explicitement
2025-07-14,FR,4,positif,"Burger parfaitement équilibré, bun moelleux, steak haché épais.",Google Maps,8,2025-07,Jul 2025,parfaitement équilibré bun moelleux steak haché épais
2025-07-13,FR,5,positif,"Ingrédients frais, burger bien assemblé, service souriant.",TripAdvisor,7,2025-07,Jul 2025,ingrédients frais assemblé service souriant
2025-11-30,EN,5,positif,The staff was super helpful recommending dishes. All excellent.,TripAdvisor,9,2025-11,Nov 2025,staff super helpful recommending dishes excellent
2025-12-06,FR,5,positif,"En résumé, commande livrée rapidement et chaude, conditionnement soigné.",TripAdvisor,9,2025-12,Dec 2025,résumé commande livrée rapidement chaude conditionnement soigné
2025-08-22,FR,3,mitigé,Le burger était excellent mais le service du soir était beaucoup plus lent.,TripAdvisor,13,2025-08,Aug 2025,excellent service soir lent
2025-04-30,FR,3,mitigé,L'expérience était bien mais le dessert a tardé anormalement longtemps.,TripAdvisor,10,2025-04,Apr 2025,l'expérience dessert tardé anormalement longtemps
2025-07-04,EN,4,positif,Must visit if you're in Casablanca. The fries are incredible too.,TripAdvisor,11,2025-07,Jul 2025,must visit fries incredible
2025-09-14,FR,3,mitigé,"Premier burger excellent, mais le second était un peu trop cuit.",Google Maps,11,2025-09,Sep 2025,premier excellent second cuit
2025-07-18,FR,1,négatif,"Franchement, service au bord de l'impolitesse, le staff semblait peu motivé.",Google Maps,11,2025-07,Jul 2025,franchement service bord l'impolitesse staff semblait motivé
2025-02-06,EN,2,négatif,Waited over 45 minutes on a weekday. Staff seemed overwhelmed and disorganized.,TripAdvisor,12,2025-02,Feb 2025,waited minutes weekday staff seemed overwhelmed disorganized
2025-09-26,AR,5,positif,أفضل تجربة برغر في المغرب، اللحم طازج والمكونات عالية الجودة.,Google Maps,10,2025-09,Sep 2025,أفضل تجربة برغر المغرب اللحم طازج والمكونات عالية الجودة
2025-08-28,FR,5,positif,"Tables bien espacées, on peut discuter tranquillement.",Google Maps,7,2025-08,Aug 2025,tables espacées peut discuter tranquillement
2025-09-01,FR,4,positif,"Franchement, personnel adorable, cadre soigné, on se croirait à Manhattan.",Google Maps,10,2025-09,Sep 2025,franchement personnel adorable cadre soigné croirait manhattan
2025-10-29,FR,5,positif,"Vraiment, la viande est d'une qualité remarquable, on le sent au premier goût.",Google Maps,13,2025-10,Oct 2025,viande d'une qualité remarquable sent premier goût
2025-10-21,EN,2,négatif,Burger was dry and overcooked despite asking for medium. Disappointing.,Google Maps,10,2025-10,Oct 2025,dry overcooked despite asking medium disappointing
2025-12-29,EN,4,positif,"Best burger I've had in Morocco, hands down. Juicy, fresh, amazing.",Google Maps,11,2025-12,Dec 2025,best morocco hands juicy fresh amazing
2026-02-15,FR,4,positif,"Ingrédients frais, burger bien assemblé, service souriant.",Google Maps,7,2026-02,Feb 2026,ingrédients frais assemblé service souriant
2025-10-24,FR,5,positif,"Franchement, la carte change selon les saisons, c'est une bonne idée.",Google Maps,11,2025-10,Oct 2025,franchement carte change selon saisons bonne idée
2025-03-12,FR,5,positif,"La carte change selon les saisons, c'est une bonne idée.",Google Maps,10,2025-03,Mar 2025,carte change selon saisons bonne idée
2025-01-24,EN,2,négatif,Waited over 45 minutes on a weekday. Staff seemed overwhelmed and disorganized.,TripAdvisor,12,2025-01,Jan 2025,waited minutes weekday staff seemed overwhelmed disorganized
2025-12-26,FR,2,négatif,"En résumé, la viande était trop cuite alors que j'avais demandé saignant explicitement.",TripAdvisor,13,2025-12,Dec 2025,résumé viande cuite alors j'avais demandé saignant explicitement
2025-03-11,FR,3,mitigé,Livraison acceptable mais le burger était tiède à la réception.,TripAdvisor,10,2025-03,Mar 2025,livraison acceptable tiède réception
2025-05-29,EN,2,négatif,Waited over 45 minutes on a weekday. Staff seemed overwhelmed and disorganized.,TripAdvisor,12,2025-05,May 2025,waited minutes weekday staff seemed overwhelmed disorganized
2025-06-02,FR,5,positif,Meilleur rapport qualité-originalité de toute la ville.,TripAdvisor,7,2025-06,Jun 2025,meilleur rapport qualité-originalité toute ville
2025-07-08,FR,1,négatif,"Service au bord de l'impolitesse, le staff semblait peu motivé.",Google Maps,10,2025-07,Jul 2025,service bord l'impolitesse staff semblait motivé
2026-03-30,FR,4,positif,"Ambiance New-York au cœur de Casa, j'adore l'endroit.",Google Maps,8,2026-03,Mar 2026,ambiance new-york cœur j'adore l'endroit
2025-04-15,FR,3,mitigé,"Le pain était légèrement sec, dommage car le reste était très bon.",TripAdvisor,12,2025-04,Apr 2025,pain légèrement sec dommage reste bon
2025-05-23,FR,5,positif,"Ambiance New-York au cœur de Casa, j'adore l'endroit.",TripAdvisor,8,2025-05,May 2025,ambiance new-york cœur j'adore l'endroit
2025-07-19,FR,5,positif,"Vraiment, le Béarnaise burger est une merveille, cuisson parfaite.",TripAdvisor,9,2025-07,Jul 2025,béarnaise merveille cuisson parfaite
2025-03-23,FR,5,positif,"Absolument incroyable, le meilleur burger de Casablanca sans aucun doute.",Google Maps,10,2025-03,Mar 2025,absolument incroyable meilleur sans aucun doute
2025-04-20,FR,5,positif,Endroit parfait pour un repas entre amis ou en famille.,Google Maps,10,2025-04,Apr 2025,parfait repas entre amis famille
2025-11-15,FR,3,mitigé,"En résumé, très bonne qualité mais les prix sont un peu élevés pour Casablanca.",TripAdvisor,14,2025-11,Nov 2025,résumé bonne qualité prix élevés
2025-09-12,EN,2,négatif,Overpriced for what it is. The hype is really not justified.,Google Maps,11,2025-09,Sep 2025,overpriced hype justified
2025-04-26,FR,4,mitigé,J'aime l'endroit mais la musique était beaucoup trop forte ce soir-là.,TripAdvisor,11,2025-04,Apr 2025,j'aime l'endroit musique forte soir-là
2025-05-31,FR,3,mitigé,"Vraiment, burger délicieux mais l'attente de 40 minutes était vraiment longue.",TripAdvisor,11,2025-05,May 2025,délicieux l'attente minutes longue
2025-12-26,EN,5,positif,"Fresh ingredients, creative menu, and reasonable prices for the quality.",TripAdvisor,10,2025-12,Dec 2025,fresh ingredients creative menu reasonable prices quality
2025-05-20,FR,2,négatif,"Allergie grave après le burger, fromage potentiellement périmé. Scandaleux.",Google Maps,9,2025-05,May 2025,allergie grave après fromage potentiellement périmé scandaleux
2025-06-26,FR,5,positif,très belle carte avec plein de choix pour tous les goûts.,Google Maps,11,2025-06,Jun 2025,belle carte plein choix tous goûts
2026-01-02,FR,5,positif,"Les burgers sont juteux et savoureux, on reviendra sans hésiter.",Google Maps,10,2026-01,Jan 2026,juteux savoureux reviendra sans hésiter
2025-05-05,AR,5,positif,برغر ممتاز، الجو رائع والفريق محترف جداً.,TripAdvisor,7,2025-05,May 2025,برغر ممتاز الجو رائع والفريق محترف جدا
2025-03-08,FR,5,positif,"Absolument incroyable, le meilleur burger de Casablanca sans aucun doute.",Google Maps,10,2025-03,Mar 2025,absolument incroyable meilleur sans aucun doute
2025-02-17,FR,3,mitigé,pas mal du tout mais le bruit ambiant rend la conversation difficile.,TripAdvisor,12,2025-02,Feb 2025,mal bruit ambiant rend conversation difficile
2025-03-08,EN,2,négatif,"Found plastic in the coleslaw, staff just apologized and offered dessert. Not ok.",TripAdvisor,13,2025-03,Mar 2025,found plastic coleslaw staff apologized offered dessert
2025-10-10,FR,5,positif,très belle carte avec plein de choix pour tous les goûts.,Google Maps,11,2025-10,Oct 2025,belle carte plein choix tous goûts
2026-02-18,FR,5,positif,le smoothie mangue accompagne parfaitement le burger épicé.,Google Maps,8,2026-02,Feb 2026,smoothie mangue accompagne parfaitement épicé
2025-10-26,FR,4,mitigé,L'expérience était bien mais le dessert a tardé anormalement longtemps.,TripAdvisor,10,2025-10,Oct 2025,l'expérience dessert tardé anormalement longtemps
2026-01-16,FR,5,positif,"Vraiment, la New York Cheesecake en dessert vaut le détour à elle seule.",Google Maps,13,2026-01,Jan 2026,new york cheesecake dessert vaut détour seule
2025-03-31,FR,3,mitigé,Très bonne qualité mais les prix sont un peu élevés pour Casablanca.,Google Maps,12,2025-03,Mar 2025,bonne qualité prix élevés
2025-06-19,FR,4,positif,"Ambiance New-York au cœur de Casa, j'adore l'endroit.",Google Maps,8,2025-06,Jun 2025,ambiance new-york cœur j'adore l'endroit
2025-05-10,EN,4,positif,"Best burger I've had in Morocco, hands down. Juicy, fresh, amazing.",Google Maps,11,2025-05,May 2025,best morocco hands juicy fresh amazing
2025-04-18,FR,5,positif,"Service rapide, personnel très accueillant, qualité exceptionnelle.",Google Maps,7,2025-04,Apr 2025,service rapide personnel accueillant qualité exceptionnelle
2025-09-19,FR,5,positif,"Cadre moderne et tendance, on s'y sent bien tout de suite.",TripAdvisor,11,2025-09,Sep 2025,cadre moderne tendance s'y sent suite
2026-01-06,EN,4,positif,Absolutely blown away by the quality. Will definitely come back.,Google Maps,10,2026-01,Jan 2026,absolutely blown away quality definitely come back
2026-01-05,FR,2,négatif,Qualité en baisse par rapport à mes visites précédentes il y a un an.,TripAdvisor,14,2026-01,Jan 2026,qualité baisse rapport visites précédentes
2025-05-16,FR,3,mitigé,Burger satisfaisant mais les frites étaient trop salées à mon goût.,Google Maps,11,2025-05,May 2025,satisfaisant frites salées goût
2025-05-26,EN,2,négatif,Overpriced for what it is. The hype is really not justified.,Google Maps,11,2025-05,May 2025,overpriced hype justified
2025-06-24,EN,4,positif,"Great vibe, great food, great service. What more could you ask for?",TripAdvisor,12,2025-06,Jun 2025,vibe food service could ask
2025-05-09,FR,5,positif,Très belle carte avec plein de choix pour tous les goûts.,Google Maps,11,2025-05,May 2025,belle carte plein choix tous goûts
2026-01-19,FR,5,positif,"Burger parfaitement équilibré, bun moelleux, steak haché épais.",TripAdvisor,8,2026-01,Jan 2026,parfaitement équilibré bun moelleux steak haché épais
2025-05-29,EN,2,négatif,Burger was dry and overcooked despite asking for medium. Disappointing.,TripAdvisor,10,2025-05,May 2025,dry overcooked despite asking medium disappointing
2025-05-19,FR,5,positif,"accueil chaleureux dès l'entrée, l'équipe est vraiment sympa.",Google Maps,8,2025-05,May 2025,accueil chaleureux dès l'entrée l'équipe sympa
2025-03-09,FR,5,positif,"cadre moderne et tendance, on s'y sent bien tout de suite.",Google Maps,11,2025-03,Mar 2025,cadre moderne tendance s'y sent suite
2025-10-20,FR,4,mitigé,menu bien mais les options végétaliennes restent très limitées.,TripAdvisor,9,2025-10,Oct 2025,menu options végétaliennes restent limitées
2025-07-03,FR,5,positif,Les milk-shakes sont divins et les frites croustillantes à souhait.,TripAdvisor,10,2025-07,Jul 2025,milk-shakes divins frites croustillantes souhait
2025-10-13,FR,4,positif,"Commande livrée rapidement et chaude, conditionnement soigné.",TripAdvisor,7,2025-10,Oct 2025,commande livrée rapidement chaude conditionnement soigné
2026-01-04,FR,4,positif,"Super burger halal, la qualité est au rendez-vous.",TripAdvisor,8,2026-01,Jan 2026,super halal qualité rendez-vous
2025-10-12,FR,2,négatif,"Ambiance bruyante et tables trop serrées, on ne s'entend pas parler.",TripAdvisor,11,2025-10,Oct 2025,ambiance bruyante tables serrées s'entend parler
2026-03-31,FR,1,négatif,"Burger froid à l'arrivée, service complètement désorganisé un vendredi soir.",TripAdvisor,10,2026-03,Mar 2026,froid l'arrivée service complètement désorganisé vendredi soir
2025-05-16,FR,3,mitigé,"Bonne nourriture dans l'ensemble, mais la commande était incorrecte au début.",TripAdvisor,11,2025-05,May 2025,bonne nourriture l'ensemble commande incorrecte début
2025-10-28,FR,1,négatif,"Franchement, burger froid à l'arrivée, service complètement désorganisé un vendredi soir.",TripAdvisor,11,2025-10,Oct 2025,franchement froid l'arrivée service complètement désorganisé vendredi soir
2025-07-16,FR,4,positif,"Les onion rings croustillants et bien assaisonnés, bravo.",Google Maps,8,2025-07,Jul 2025,onion rings croustillants assaisonnés bravo
2025-12-18,FR,2,négatif,"Ambiance bruyante et tables trop serrées, on ne s'entend pas parler.",Google Maps,11,2025-12,Dec 2025,ambiance bruyante tables serrées s'entend parler
2026-03-13,FR,5,positif,Le smoothie mangue accompagne parfaitement le burger épicé.,Google Maps,8,2026-03,Mar 2026,smoothie mangue accompagne parfaitement épicé
2025-12-23,EN,5,positif,"The Béarnaise burger blew my mind, perfectly cooked medium rare.",TripAdvisor,10,2025-12,Dec 2025,béarnaise blew mind perfectly cooked medium rare
2025-12-22,FR,3,mitigé,Le burger était excellent mais le service du soir était beaucoup plus lent.,TripAdvisor,13,2025-12,Dec 2025,excellent service soir lent
2025-10-01,FR,4,positif,La New York Cheesecake en dessert vaut le détour à elle seule.,TripAdvisor,12,2025-10,Oct 2025,new york cheesecake dessert vaut détour seule
2025-12-12,FR,3,mitigé,"Franchement, qualité des burgers top mais l'accueil du staff a semblé froid ce jour.",TripAdvisor,14,2025-12,Dec 2025,franchement qualité top l'accueil staff semblé froid jour
2025-01-27,EN,5,positif,The staff was super helpful recommending dishes. All excellent.,Google Maps,9,2025-01,Jan 2025,staff super helpful recommending dishes excellent
2026-03-08,FR,5,positif,"La viande est d'une qualité remarquable, on le sent au premier goût.",TripAdvisor,12,2026-03,Mar 2026,viande d'une qualité remarquable sent premier goût
2025-11-07,EN,5,positif,"Fresh ingredients, creative menu, and reasonable prices for the quality.",Google Maps,10,2025-11,Nov 2025,fresh ingredients creative menu reasonable prices quality
2025-08-05,FR,5,positif,"Le Double Cheesy est une tuerie absolue, portions généreuses.",Google Maps,9,2025-08,Aug 2025,double cheesy tuerie absolue portions généreuses
2025-05-30,EN,4,positif,The staff was super helpful recommending dishes. All excellent.,Google Maps,9,2025-05,May 2025,staff super helpful recommending dishes excellent
2025-06-10,FR,2,négatif,"Service au bord de l'impolitesse, le staff semblait peu motivé.",Google Maps,10,2025-06,Jun 2025,service bord l'impolitesse staff semblait motivé
2026-03-02,AR,5,positif,خدمة ممتازة والبرغر لذيذ جداً، أنصح بزيارة هذا المطعم.,TripAdvisor,9,2026-03,Mar 2026,خدمة ممتازة والبرغر لذيذ جدا أنصح بزيارة هذا المطعم
2026-03-03,FR,1,négatif,Qualité en baisse par rapport à mes visites précédentes il y a un an.,Google Maps,14,2026-03,Mar 2026,qualité baisse rapport visites précédentes
2025-08-29,EN,5,positif,"The Béarnaise burger blew my mind, perfectly cooked medium rare.",TripAdvisor,10,2025-08,Aug 2025,béarnaise blew mind perfectly cooked medium rare
2025-01-22,EN,5,positif,Burger was cooked to perfection and the onion rings were fantastic.,TripAdvisor,11,2025-01,Jan 2025,cooked perfection onion rings fantastic
2026-02-21,FR,3,mitigé,menu bien mais les options végétaliennes restent très limitées.,TripAdvisor,9,2026-02,Feb 2026,menu options végétaliennes restent limitées
2025-10-29,AR,2,négatif,طلبنا طلبين وجاء كلاهما خاطئين، إدارة سيئة.,TripAdvisor,7,2025-10,Oct 2025,طلبنا طلبين وجاء كلاهما خاطئين إدارة سيئة
2025-06-06,FR,3,mitigé,"le pain était légèrement sec, dommage car le reste était très bon.",Google Maps,12,2025-06,Jun 2025,pain légèrement sec dommage reste bon
2025-07-08,FR,2,négatif,"Ambiance bruyante et tables trop serrées, on ne s'entend pas parler.",TripAdvisor,11,2025-07,Jul 2025,ambiance bruyante tables serrées s'entend parler
2025-06-26,FR,4,mitigé,pas mal du tout mais le bruit ambiant rend la conversation difficile.,Google Maps,12,2025-06,Jun 2025,mal bruit ambiant rend conversation difficile
2025-07-26,FR,3,mitigé,Le burger était excellent mais le service du soir était beaucoup plus lent.,TripAdvisor,13,2025-07,Jul 2025,excellent service soir lent
2026-02-12,EN,5,positif,"The Béarnaise burger blew my mind, perfectly cooked medium rare.",Google Maps,10,2026-02,Feb 2026,béarnaise blew mind perfectly cooked medium rare
2025-04-19,FR,5,positif,"En résumé, endroit parfait pour un repas entre amis ou en famille.",Google Maps,12,2025-04,Apr 2025,résumé parfait repas entre amis famille
2026-01-28,EN,5,positif,Absolutely blown away by the quality. Will definitely come back.,TripAdvisor,10,2026-01,Jan 2026,absolutely blown away quality definitely come back
2025-10-07,FR,5,positif,"Franchement, absolument incroyable, le meilleur burger de Casablanca sans aucun doute.",TripAdvisor,11,2025-10,Oct 2025,franchement absolument incroyable meilleur sans aucun doute
2025-10-05,FR,3,mitigé,Burger délicieux mais l'attente de 40 minutes était vraiment longue.,Google Maps,10,2025-10,Oct 2025,délicieux l'attente minutes longue
2026-02-17,FR,5,positif,"Vraiment, le Béarnaise burger est une merveille, cuisson parfaite.",TripAdvisor,9,2026-02,Feb 2026,béarnaise merveille cuisson parfaite
2025-05-12,FR,4,mitigé,Qualité des burgers top mais l'accueil du staff a semblé froid ce jour.,Google Maps,13,2025-05,May 2025,qualité top l'accueil staff semblé froid jour
2025-08-15,FR,4,positif,"Cadre moderne et tendance, on s'y sent bien tout de suite.",Google Maps,11,2025-08,Aug 2025,cadre moderne tendance s'y sent suite
