date,langue,note,sentiment,texte,source,nb_mots,mois,mois_str,texte_clean
2025-08-28,FR,4,mitigé,Burgers corrects mais on est loin des éloges qu'on lit sur internet.,Google Maps,12,2025-08,Aug 2025,corrects loin éloges qu'on lit internet
2025-09-01,FR,4,positif,"Le Double Cheesy est une tuerie absolue, portions généreuses.",Google Maps,9,2025-09,Sep 2025,double cheesy tuerie absolue portions généreuses
2025-03-20,FR,5,positif,La Béarnaise sauce maison est vraiment exceptionnelle.,TripAdvisor,7,2025-03,Mar 2025,béarnaise sauce maison exceptionnelle
2025-09-30,FR,5,positif,"Ambiance New-York au cœur de Casa, j'adore l'endroit.",TripAdvisor,8,2025-09,Sep 2025,ambiance new-york cœur j'adore l'endroit
2025-01-08,FR,1,négatif,"Prix exorbitants pour des portions de plus en plus petites, déception totale.",TripAdvisor,12,2025-01,Jan 2025,prix exorbitants portions petites déception totale
2025-09-09,EN,5,positif,"The milkshakes here are unbelievably good, try the caramelized one.",Google Maps,10,2025-09,Sep 2025,milkshakes unbelievably try caramelized one
2025-02-17,FR,2,négatif,"Vraiment, prix exorbitants pour des portions de plus en plus petites, déception totale.",Google Maps,13,2025-02,Feb 2025,prix exorbitants portions petites déception totale
2025-11-25,FR,1,négatif,"Franchement, les toilettes n'étaient pas propres, ça fait mauvaise impression.",Google Maps,10,2025-11,Nov 2025,franchement toilettes n'étaient propres mauvaise impression
2025-04-12,EN,5,positif,"The milkshakes here are unbelievably good, try the caramelized one.",TripAdvisor,10,2025-04,Apr 2025,milkshakes unbelievably try caramelized one
2025-07-14,EN,5,positif,"This place is a hidden gem in Casablanca, very New York feel.",TripAdvisor,12,2025-07,Jul 2025,hidden gem new york feel
2026-03-12,EN,5,positif,"Great vibe, great food, great service. What more could you ask for?",TripAdvisor,12,2026-03,Mar 2026,vibe food service could ask
2025-01-30,FR,5,positif,"Le Béarnaise burger est une merveille, cuisson parfaite.",TripAdvisor,8,2025-01,Jan 2025,béarnaise merveille cuisson parfaite
2026-01-20,FR,4,positif,"Vraiment, accueil chaleureux dès l'entrée, l'équipe est vraiment sympa.",TripAdvisor,9,2026-01,Jan 2026,accueil chaleureux dès l'entrée l'équipe sympa
2025-08-31,EN,5,positif,"Amazing atmosphere, friendly staff, and the burgers are top notch.",Google Maps,10,2025-08,Aug 2025,amazing atmosphere friendly staff top notch
2026-01-26,FR,5,positif,"Franchement, la poutine est addictive, les sauces maison font toute la différence.",TripAdvisor,12,2026-01,Jan 2026,franchement poutine addictive sauces maison font toute différence
2025-08-09,FR,1,négatif,"Les toilettes n'étaient pas propres, ça fait mauvaise impression.",TripAdvisor,9,2025-08,Aug 2025,toilettes n'étaient propres mauvaise impression
2025-12-02,FR,3,mitigé,J'aime l'endroit mais la musique était beaucoup trop forte ce soir-là.,Google Maps,11,2025-12,Dec 2025,j'aime l'endroit musique forte soir-là
2025-11-13,FR,5,positif,Le Rossini burger au foie gras est une expérience gastronomique.,TripAdvisor,10,2025-11,Nov 2025,rossini foie gras expérience gastronomique
2025-05-18,EN,5,positif,"Fresh ingredients, creative menu, and reasonable prices for the quality.",TripAdvisor,10,2025-05,May 2025,fresh ingredients creative menu reasonable prices quality
2025-04-18,FR,4,positif,"Absolument incroyable, le meilleur burger de Casablanca sans aucun doute.",Google Maps,10,2025-04,Apr 2025,absolument incroyable meilleur sans aucun doute
2026-02-12,FR,5,positif,"Service rapide, personnel très accueillant, qualité exceptionnelle.",Google Maps,7,2026-02,Feb 2026,service rapide personnel accueillant qualité exceptionnelle
2025-12-20,EN,5,positif,Must visit if you're in Casablanca. The fries are incredible too.,Google Maps,11,2025-12,Dec 2025,must visit fries incredible
2025-07-14,FR,3,mitigé,L'expérience était bien mais le dessert a tardé anormalement longtemps.,Google Maps,10,2025-07,Jul 2025,l'expérience dessert tardé anormalement longtemps
2025-02-17,EN,5,positif,"Best burger I've had in Morocco, hands down. Juicy, fresh, amazing.",TripAdvisor,11,2025-02,Feb 2025,best morocco hands juicy fresh amazing
2025-04-03,FR,3,mitigé,"Le pain était légèrement sec, dommage car le reste était très bon.",Google Maps,12,2025-04,Apr 2025,pain légèrement sec dommage reste bon
2026-03-22,FR,3,mitigé,"Le pain était légèrement sec, dommage car le reste était très bon.",TripAdvisor,12,2026-03,Mar 2026,pain légèrement sec dommage reste bon
2025-08-12,EN,5,positif,"Great vibe, great food, great service. What more could you ask for?",TripAdvisor,12,2025-08,Aug 2025,vibe food service could ask
2025-11-23,EN,4,positif,"Amazing atmosphere, friendly staff, and the burgers are top notch.",TripAdvisor,10,2025-11,Nov 2025,amazing atmosphere friendly staff top notch
2025-04-02,FR,5,positif,"En résumé, les burgers sont juteux et savoureux, on reviendra sans hésiter.",Google Maps,12,2025-04,Apr 2025,résumé juteux savoureux reviendra sans hésiter
2025-09-17,FR,5,positif,"Ambiance New-York au cœur de Casa, j'adore l'endroit.",TripAdvisor,8,2025-09,Sep 2025,ambiance new-york cœur j'adore l'endroit
2025-08-17,FR,3,mitigé,Menu bien mais les options végétaliennes restent très limitées.,Google Maps,9,2025-08,Aug 2025,menu options végétaliennes restent limitées
2026-01-15,FR,4,positif,"Vraiment une bonne surprise, meilleur que ce à quoi je m'attendais.",Google Maps,11,2026-01,Jan 2026,bonne surprise meilleur quoi m'attendais
2025-05-07,EN,5,positif,"Best burger I've had in Morocco, hands down. Juicy, fresh, amazing.",TripAdvisor,11,2025-05,May 2025,best morocco hands juicy fresh amazing
2025-06-17,FR,4,mitigé,"En résumé, j'aime l'endroit mais la musique était beaucoup trop forte ce soir-là.",Google Maps,13,2025-06,Jun 2025,résumé j'aime l'endroit musique forte soir-là
2025-02-05,FR,4,positif,"Les onion rings croustillants et bien assaisonnés, bravo.",Google Maps,8,2025-02,Feb 2025,onion rings croustillants assaisonnés bravo
2025-04-08,FR,1,négatif,"En résumé, ambiance bruyante et tables trop serrées, on ne s'entend pas parler.",Google Maps,13,2025-04,Apr 2025,résumé ambiance bruyante tables serrées s'entend parler
2025-10-16,FR,5,positif,"Absolument incroyable, le meilleur burger de Casablanca sans aucun doute.",Google Maps,10,2025-10,Oct 2025,absolument incroyable meilleur sans aucun doute
2026-03-17,FR,5,positif,Les milk-shakes sont divins et les frites croustillantes à souhait.,TripAdvisor,10,2026-03,Mar 2026,milk-shakes divins frites croustillantes souhait
2025-10-09,FR,5,positif,La New York Cheesecake en dessert vaut le détour à elle seule.,TripAdvisor,12,2025-10,Oct 2025,new york cheesecake dessert vaut détour seule
2025-11-15,EN,5,positif,"Best burger I've had in Morocco, hands down. Juicy, fresh, amazing.",TripAdvisor,11,2025-11,Nov 2025,best morocco hands juicy fresh amazing
2025-02-11,FR,4,positif,"Cadre moderne et tendance, on s'y sent bien tout de suite.",TripAdvisor,11,2025-02,Feb 2025,cadre moderne tendance s'y sent suite
2026-01-20,FR,5,positif,"On a testé cinq burgers différents, tous excellents sans exception.",Google Maps,10,2026-01,Jan 2026,testé cinq différents tous excellents sans exception
2026-03-01,EN,5,positif,"This place is a hidden gem in Casablanca, very New York feel.",Google Maps,12,2026-03,Mar 2026,hidden gem new york feel
2026-02-26,FR,1,négatif,La viande était trop cuite alors que j'avais demandé saignant explicitement.,Google Maps,11,2026-02,Feb 2026,viande cuite alors j'avais demandé saignant explicitement
2025-06-05,FR,1,négatif,"Vraiment, service au bord de l'impolitesse, le staff semblait peu motivé.",Google Maps,11,2025-06,Jun 2025,service bord l'impolitesse staff semblait motivé
2025-04-19,EN,2,négatif,Waited over 45 minutes on a weekday. Staff seemed overwhelmed and disorganized.,TripAdvisor,12,2025-04,Apr 2025,waited minutes weekday staff seemed overwhelmed disorganized
2025-07-19,FR,4,positif,"burger parfaitement équilibré, bun moelleux, steak haché épais.",Google Maps,8,2025-07,Jul 2025,parfaitement équilibré bun moelleux steak haché épais
2025-04-22,EN,5,positif,"Fresh ingredients, creative menu, and reasonable prices for the quality.",Google Maps,10,2025-04,Apr 2025,fresh ingredients creative menu reasonable prices quality
2025-08-07,FR,1,négatif,"Livraison avec une heure de retard, burger complètement froid et détrempé.",Google Maps,11,2025-08,Aug 2025,livraison heure retard complètement froid détrempé
2026-02-05,FR,5,positif,"En résumé, burger parfaitement équilibré, bun moelleux, steak haché épais.",Google Maps,10,2026-02,Feb 2026,résumé parfaitement équilibré bun moelleux steak haché épais
2026-02-03,FR,1,négatif,"Prix exorbitants pour des portions de plus en plus petites, déception totale.",TripAdvisor,12,2026-02,Feb 2026,prix exorbitants portions petites déception totale
2025-09-29,EN,4,positif,The staff was super helpful recommending dishes. All excellent.,TripAdvisor,9,2025-09,Sep 2025,staff super helpful recommending dishes excellent
2026-01-17,AR,4,positif,البيئة جميلة والطاقم ودود، تجربة رائعة للعائلة.,TripAdvisor,7,2026-01,Jan 2026,البيئة جميلة والطاقم ودود تجربة رائعة للعائلة
2025-06-24,EN,5,positif,Absolutely blown away by the quality. Will definitely come back.,TripAdvisor,10,2025-06,Jun 2025,absolutely blown away quality definitely come back
2025-01-18,FR,4,mitigé,Bon repas globalement mais la terrasse manque vraiment d'ombre en été.,Google Maps,11,2025-01,Jan 2025,bon repas globalement terrasse manque d'ombre
2025-01-06,EN,5,positif,The staff was super helpful recommending dishes. All excellent.,Google Maps,9,2025-01,Jan 2025,staff super helpful recommending dishes excellent
2025-01-09,FR,1,négatif,Mauvaise expérience : plastique trouvé dans la salade coleslaw.,TripAdvisor,9,2025-01,Jan 2025,mauvaise expérience plastique trouvé salade coleslaw
2025-11-01,FR,3,mitigé,"En résumé, très bonne qualité mais les prix sont un peu élevés pour Casablanca.",Google Maps,14,2025-11,Nov 2025,résumé bonne qualité prix élevés
2025-01-19,FR,3,mitigé,Menu bien mais les options végétaliennes restent très limitées.,Google Maps,9,2025-01,Jan 2025,menu options végétaliennes restent limitées
2025-05-20,FR,4,positif,"La viande est d'une qualité remarquable, on le sent au premier goût.",Google Maps,12,2025-05,May 2025,viande d'une qualité remarquable sent premier goût
2025-08-05,FR,5,positif,"Commande livrée rapidement et chaude, conditionnement soigné.",Google Maps,7,2025-08,Aug 2025,commande livrée rapidement chaude conditionnement soigné
2025-12-27,FR,5,positif,"Option végétarienne délicieuse, même les carnivores se régalent.",TripAdvisor,8,2025-12,Dec 2025,option végétarienne délicieuse carnivores régalent
2026-01-02,FR,3,mitigé,J'aime l'endroit mais la musique était beaucoup trop forte ce soir-là.,TripAdvisor,11,2026-01,Jan 2026,j'aime l'endroit musique forte soir-là
2026-03-03,EN,4,positif,"The Béarnaise burger blew my mind, perfectly cooked medium rare.",TripAdvisor,10,2026-03,Mar 2026,béarnaise blew mind perfectly cooked medium rare
2025-04-23,FR,4,positif,Meilleur rapport qualité-originalité de toute la ville.,TripAdvisor,7,2025-04,Apr 2025,meilleur rapport qualité-originalité toute ville
2025-09-08,EN,5,positif,"One of the best burgers I've had anywhere in the world, seriously.",Google Maps,12,2025-09,Sep 2025,one best anywhere world seriously
2025-03-02,FR,3,mitigé,Le burger était excellent mais le service du soir était beaucoup plus lent.,Google Maps,13,2025-03,Mar 2025,excellent service soir lent
2025-06-20,FR,3,mitigé,Menu bien mais les options végétaliennes restent très limitées.,TripAdvisor,9,2025-06,Jun 2025,menu options végétaliennes restent limitées
2025-10-08,FR,4,positif,Le staff connaît bien le menu et donne de bons conseils.,Google Maps,11,2025-10,Oct 2025,staff connaît menu donne bons conseils
2025-03-21,FR,2,négatif,"Prix exorbitants pour des portions de plus en plus petites, déception totale.",TripAdvisor,12,2025-03,Mar 2025,prix exorbitants portions petites déception totale
2026-03-18,EN,2,négatif,Overpriced for what it is. The hype is really not justified.,TripAdvisor,11,2026-03,Mar 2026,overpriced hype justified
2025-09-07,EN,2,négatif,No gluten-free bun available even though it's on the menu. Very misleading.,Google Maps,12,2025-09,Sep 2025,gluten-free bun available even though menu misleading
2025-06-16,EN,2,négatif,Overpriced for what it is. The hype is really not justified.,TripAdvisor,11,2025-06,Jun 2025,overpriced hype justified
2025-08-11,EN,5,positif,"Amazing atmosphere, friendly staff, and the burgers are top notch.",TripAdvisor,10,2025-08,Aug 2025,amazing atmosphere friendly staff top notch
2025-08-28,FR,3,mitigé,Bon repas globalement mais la terrasse manque vraiment d'ombre en été.,Google Maps,11,2025-08,Aug 2025,bon repas globalement terrasse manque d'ombre
2025-12-06,FR,3,mitigé,"Premier burger excellent, mais le second était un peu trop cuit.",TripAdvisor,11,2025-12,Dec 2025,premier excellent second cuit
2026-03-02,EN,5,positif,"The milkshakes here are unbelievably good, try the caramelized one.",Google Maps,10,2026-03,Mar 2026,milkshakes unbelievably try caramelized one
2025-01-24,EN,4,positif,Absolutely blown away by the quality. Will definitely come back.,Google Maps,10,2025-01,Jan 2025,absolutely blown away quality definitely come back
2025-02-28,FR,2,négatif,"Burger froid à l'arrivée, service complètement désorganisé un vendredi soir.",TripAdvisor,10,2025-02,Feb 2025,froid l'arrivée service complètement désorganisé vendredi soir
2025-04-22,FR,5,positif,"Vraiment, le staff connaît bien le menu et donne de bons conseils.",TripAdvisor,12,2025-04,Apr 2025,staff connaît menu donne bons conseils
2025-11-01,FR,4,positif,"Commande livrée rapidement et chaude, conditionnement soigné.",TripAdvisor,7,2025-11,Nov 2025,commande livrée rapidement chaude conditionnement soigné
2025-05-25,FR,3,mitigé,"Vraiment, livraison acceptable mais le burger était tiède à la réception.",Google Maps,11,2025-05,May 2025,livraison acceptable tiède réception
2025-12-28,FR,3,mitigé,sympa pour une fois mais le rapport qualité-prix reste discutable.,Google Maps,10,2025-12,Dec 2025,sympa rapport qualité-prix reste discutable
2025-08-30,FR,1,négatif,"Franchement, ambiance bruyante et tables trop serrées, on ne s'entend pas parler.",TripAdvisor,12,2025-08,Aug 2025,franchement ambiance bruyante tables serrées s'entend parler
2025-05-03,FR,4,positif,"Commande livrée rapidement et chaude, conditionnement soigné.",TripAdvisor,7,2025-05,May 2025,commande livrée rapidement chaude conditionnement soigné
2025-06-01,FR,4,mitigé,Menu bien mais les options végétaliennes restent très limitées.,Google Maps,9,2025-06,Jun 2025,menu options végétaliennes restent limitées
2026-01-14,FR,3,mitigé,Très bonne qualité mais les prix sont un peu élevés pour Casablanca.,TripAdvisor,12,2026-01,Jan 2026,bonne qualité prix élevés
2025-10-27,FR,1,négatif,La viande était trop cuite alors que j'avais demandé saignant explicitement.,Google Maps,11,2025-10,Oct 2025,viande cuite alors j'avais demandé saignant explicitement
2025-06-02,FR,4,positif,"En résumé, le smoothie mangue accompagne parfaitement le burger épicé.",TripAdvisor,10,2025-06,Jun 2025,résumé smoothie mangue accompagne parfaitement épicé
2026-01-03,FR,5,positif,"Franchement, endroit parfait pour un repas entre amis ou en famille.",TripAdvisor,11,2026-01,Jan 2026,franchement parfait repas entre amis famille
2025-05-24,FR,1,négatif,Qualité en baisse par rapport à mes visites précédentes il y a un an.,TripAdvisor,14,2025-05,May 2025,qualité baisse rapport visites précédentes
2026-01-26,FR,5,positif,Très belle carte avec plein de choix pour tous les goûts.,TripAdvisor,11,2026-01,Jan 2026,belle carte plein choix tous goûts
2025-10-14,FR,5,positif,Meilleur rapport qualité-originalité de toute la ville.,TripAdvisor,7,2025-10,Oct 2025,meilleur rapport qualité-originalité toute ville
2025-03-17,FR,1,négatif,Mauvaise expérience : plastique trouvé dans la salade coleslaw.,TripAdvisor,9,2025-03,Mar 2025,mauvaise expérience plastique trouvé salade coleslaw
2025-04-26,FR,4,positif,"Accueil chaleureux dès l'entrée, l'équipe est vraiment sympa.",TripAdvisor,8,2025-04,Apr 2025,accueil chaleureux dès l'entrée l'équipe sympa
2025-04-24,FR,1,négatif,"Trop cher pour ce que c'est, Smokey's à Casa propose bien mieux pour moins.",Google Maps,14,2025-04,Apr 2025,cher smokey's propose mieux
2025-12-11,FR,3,mitigé,Burger délicieux mais l'attente de 40 minutes était vraiment longue.,TripAdvisor,10,2025-12,Dec 2025,délicieux l'attente minutes longue
2025-12-06,FR,4,positif,"La carte change selon les saisons, c'est une bonne idée.",TripAdvisor,10,2025-12,Dec 2025,carte change selon saisons bonne idée
2025-10-25,EN,5,positif,"This place is a hidden gem in Casablanca, very New York feel.",TripAdvisor,12,2025-10,Oct 2025,hidden gem new york feel
2025-08-24,FR,4,mitigé,"Le pain était légèrement sec, dommage car le reste était très bon.",TripAdvisor,12,2025-08,Aug 2025,pain légèrement sec dommage reste bon
2025-02-06,FR,5,positif,"Service rapide, personnel très accueillant, qualité exceptionnelle.",Google Maps,7,2025-02,Feb 2025,service rapide personnel accueillant qualité exceptionnelle
2025-06-16,FR,2,négatif,"Ambiance bruyante et tables trop serrées, on ne s'entend pas parler.",TripAdvisor,11,2025-06,Jun 2025,ambiance bruyante tables serrées s'entend parler
2025-04-15,FR,5,positif,"Cadre moderne et tendance, on s'y sent bien tout de suite.",Google Maps,11,2025-04,Apr 2025,cadre moderne tendance s'y sent suite
2025-06-01,FR,4,mitigé,Bon repas globalement mais la terrasse manque vraiment d'ombre en été.,TripAdvisor,11,2025-06,Jun 2025,bon repas globalement terrasse manque d'ombre
2026-02-14,FR,5,positif,"Accueil chaleureux dès l'entrée, l'équipe est vraiment sympa.",TripAdvisor,8,2026-02,Feb 2026,accueil chaleureux dès l'entrée l'équipe sympa
2025-10-09,EN,4,positif,"The milkshakes here are unbelievably good, try the caramelized one.",TripAdvisor,10,2025-10,Oct 2025,milkshakes unbelievably try caramelized one
2026-03-27,FR,5,positif,"Un must de Casablanca, à faire absolument si vous aimez les burgers.",TripAdvisor,12,2026-03,Mar 2026,must faire absolument aimez
2025-12-05,EN,5,positif,"One of the best burgers I've had anywhere in the world, seriously.",TripAdvisor,12,2025-12,Dec 2025,one best anywhere world seriously
2025-02-10,FR,5,positif,"La viande est d'une qualité remarquable, on le sent au premier goût.",TripAdvisor,12,2025-02,Feb 2025,viande d'une qualité remarquable sent premier goût
2025-02-13,FR,5,positif,"Vraiment, accueil chaleureux dès l'entrée, l'équipe est vraiment sympa.",Google Maps,9,2025-02,Feb 2025,accueil chaleureux dès l'entrée l'équipe sympa
2025-08-21,FR,5,positif,"Franchement, ingrédients frais, burger bien assemblé, service souriant.",TripAdvisor,8,2025-08,Aug 2025,franchement ingrédients frais assemblé service souriant
2026-03-28,EN,5,positif,Absolutely blown away by the quality. Will definitely come back.,Google Maps,10,2026-03,Mar 2026,absolutely blown away quality definitely come back
2025-11-30,EN,5,positif,Burger was cooked to perfection and the onion rings were fantastic.,TripAdvisor,11,2025-11,Nov 2025,cooked perfection onion rings fantastic
2025-09-05,FR,3,mitigé,Qualité des burgers top mais l'accueil du staff a semblé froid ce jour.,Google Maps,13,2025-09,Sep 2025,qualité top l'accueil staff semblé froid jour
2025-06-09,EN,5,positif,"Amazing atmosphere, friendly staff, and the burgers are top notch.",TripAdvisor,10,2025-06,Jun 2025,amazing atmosphere friendly staff top notch
2025-06-18,FR,3,mitigé,Le burger était excellent mais le service du soir était beaucoup plus lent.,Google Maps,13,2025-06,Jun 2025,excellent service soir lent
2025-08-10,FR,3,mitigé,"Vraiment, le pain était légèrement sec, dommage car le reste était très bon.",Google Maps,13,2025-08,Aug 2025,pain légèrement sec dommage reste bon
2026-03-07,FR,4,positif,"La carte change selon les saisons, c'est une bonne idée.",Google Maps,10,2026-03,Mar 2026,carte change selon saisons bonne idée
2025-11-30,FR,1,négatif,"Service au bord de l'impolitesse, le staff semblait peu motivé.",TripAdvisor,10,2025-11,Nov 2025,service bord l'impolitesse staff semblait motivé
2026-03-24,FR,5,positif,Endroit parfait pour un repas entre amis ou en famille.,Google Maps,10,2026-03,Mar 2026,parfait repas entre amis famille
2025-04-28,FR,4,mitigé,Bon repas globalement mais la terrasse manque vraiment d'ombre en été.,Google Maps,11,2025-04,Apr 2025,bon repas globalement terrasse manque d'ombre
2025-01-01,FR,4,positif,"les onion rings croustillants et bien assaisonnés, bravo.",Google Maps,8,2025-01,Jan 2025,onion rings croustillants assaisonnés bravo
